"ID_place","Author","Project","Year","Status","Public","Latitude","Longitude","Country","Name_mod","Name_hist","Hydro_type","Hydro_name_mod","Hydro_name_hist","Locat_secure","Locat_text","Locat_precision","Source_hist","Source_feature_arch","Source_find_arch","Source_other","Place_type_general","Place_technique","Place_topography","Place_infrastructure","Place_function","Place_goods_finds","Actors_Activity","Place_hierarchy","Place_secure_info","Date_min","Date_max","Date_pre_1_cent_BC","Date_1_cent_BC","Date_1_cent_AD","Date_2_cent_AD","Date_3_cent_AD","Date_4_cent_AD","Date_5_cent_AD","Date_6_cent_AD","Date_7_cent_AD","Date_8_cent_AD","Date_9_cent_AD","Date_10_cent_AD","Date_11_cent_AD","Date_12_cent_AD","Date_13_cent_AD","Date_14_cent_AD","Date_15_cent_AD","Date_16_cent_AD","Date_17_cent_AD","Date_18_cent_AD","Date_19_cent_AD","Date_20_cent_AD","Date_secure","Date_text","Ref_hist","Ref_mod","Comments"
289,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.774,-6.344,"Britain, Northern Ireland","Lisnhunshin (Gregory I267)",,"lake","Loughtamand",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 465",
290,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.505,-6.853,"Britain, Northern Ireland","Lough Aughlish, near Castlecaulfield 1 (Fry No. 14; Gregory I192)",,"lake","Lough Aughlish",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 53f.; Gregory 1997, 414f.",
291,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.505,-6.852,"Britain, Northern Ireland","Lough Aughlish, near Castlecaulfield 2 (Fry No. 15; Gregory I193)",,"lake","Lough Aughlish",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 54f.; Gregory 1997, 416f.",
292,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.776,-6.468,"Britain, Northern Ireland","Lough Beg / River Bann, Gortgill Townland (Fry No. 53)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-350,70,"yes","yes","assumed",,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2060±60 BP)",,"Fry 2000, 80f.; Lanting 1998, 628",
293,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.795,-6.468,"Britain, Northern Ireland","Lough Beg, Ballyscullion Townland (Fry No. 39; Gregory I039))",,"lake","Lough Beg",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 71; Gregory 1997, 290f.",
294,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.261,-7.597,"Britain, Northern Ireland","Lough Derg, Clontycoora Townland, Upper Lough Erne (Fry No. 99; Gregory I076)",,"lake","Lough Derg",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 107; Gregory 1997, 322",
295,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.499,-6.808,"Britain, Northern Ireland","Lough Eskragh, near Dungannon 1 (Fry No. 16; Gregory I195)",,"lake","Lough Eskragh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 55; Gregory 1997, 418ff.",
296,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.499,-6.808,"Britain, Northern Ireland","Lough Eskragh, near Dungannon 2 (Fry No. 17; Gregory I196)",,"lake","Lough Eskragh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-370,-110,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2165±25 BP)",,"Fry 2000, 56f.; Gregory 1997, 418ff.; Lanting 1998, 628",
297,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.644,-7.115,"Britain, Northern Ireland","Lough Fingrean, near Mountfleld (Fry No. 56; Gregory I002)",,"lake","Lough Fingrean",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,570,860,,,,,,,,"assumed","yes","yes","assumed",,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1370±70 BP)",,"Fry 2000, 82f.; Gregory 1997, 262ff.",
298,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.767,-5.809,"Britain, Northern Ireland","Lough Mourne (? crannog), West of Whitehead (Fry No. 110; Gregory I045)",,"lake","Lough Mourne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 114f.; Gregory 1997, 298",
299,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.763,-5.806,"Britain, Northern Ireland","Lough Mourne, West of Whitehead (Fry No. 109; Gregory I044)",,"lake","Lough Mourne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 114; Gregory 1997, 296f.",
300,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.51,-6.567,"Britain, Northern Ireland","Lough Neagh at Maghery (Fry No. 111)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 115f.; gregory 1997, 476ff.",
301,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.511,-6.569,"Britain, Northern Ireland","Lough Neagh at Maghery (Fry No. 89)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-30,130,,"assumed","yes","assumed",,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1940±35 BP)",,"Fry 2000, 100",
302,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.56,-6.461,"Britain, Northern Ireland","Lough Neagh, 1993",,"lake","Lough Neagh",,"highly reliable",,,"no","yes","yes",,"vessel","keelboat",,,,,,,,1709,1727,,,,,,,,,,,,,,,,,,,,"yes",,,"highly reliable","Dated via dendrochronology around 1718±9d",,"Roberts 1996; Wilkinson/Williams 1996",
303,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.586,-6.535,"Britain, Northern Ireland","Lough Neagh, Brookend Townland (Fry No. 112)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-5490,-5246,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (6457±35 BP)",,"Fry 2000, 116",
304,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.49,-6.365,"Britain, Northern Ireland","Lough Neagh, Kinnegoe Harbour (site of Kinnegoe Marina) (Fry No. 55; Gregory I252)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,515,515,,,,,,,,"yes",,,,,,,,,,,,,,,"highly reliable","Dated via dendrochronology around 524±9d",,"Fry 2000, 81f.; Lanting 1998, 628; Gregory 1997, 449ff.",
305,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.75,-6.48,"Britain, Northern Ireland","Lough Neagh, North of Upper Bann Mouth (Fry No. 80; Gregory I040)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,680,880,,,,,,,,,"assumed","yes","yes",,,,,,,,,,,,"reliable","Dated via radiocarbon dating 1245±30 BP)",,"Fry 2000, 95f.; Lanting 1998, 628; Gregory 1997, 292",
306,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.534,-6.606,"Britain, Northern Ireland","Lough Neagh, Washing Bay, Aughamullan Townland (Fry No. 48; Gregory I013)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,450,890,,,,,,,"assumed","yes","yes","yes","assumed",,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1360±100 BP)",,"Fry 2000, 77; Gregory 1997, 270",
307,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.752,-6.466,"Britain, Northern Ireland","Lough Neagh,Toome Bar (Fry No. 117; Gregory I364)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 120f.; Gregory 1997, 525",
308,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.752,-6.466,"Britain, Northern Ireland","Lough Neagh,Toome Bar (Gregory I365)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 525",
309,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.752,-6.466,"Britain, Northern Ireland","Lough Neagh,Toome Bar (Gregory I366)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 525",
310,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.53,-6.578,"Britain, Northern Ireland","Lough Neagh,West of Scaddy Island (Fry No. 103)",,"lake","Lough Neagh",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,578,578,,,,,,,,"yes",,,,,,,,,,,,,,,"highly reliable","Dated via dendrochronology around 587±9d",,"Fry 2000, 109f.",
311,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.294,-7.568,"Britain, Northern Ireland","Lough Neely, Derrybrusk Townland 1 (Fry No. 104)",,"lake","Lough Neely",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-1208,-938,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2876±34 BP)",,"Fry 2000, 110; Lanting 1998, 628",
312,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.296,-7.56,"Britain, Northern Ireland","Lough Neely, Derrybrusk Townland 2 (Fry No. 105)",,"lake","Lough Neely",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-1260,-1000,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2912±38 BP)",,"Fry 2000, 111; Lanting 1998, 628",
313,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",55.16,-6.451,"Britain, Northern Ireland","Lower Glassaneeran/Carnbore Townlands, near Moss Side (Fry No. 25; Gregory I206)",,"lake","Lough Lynch Bog",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 63; Gregory 1997, 426",
314,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.495,-7.978,"Britain, Northern Ireland","Lower Lough Erne, Bleanalung Bay, Garvary River Mouth, Ballymagaghran Townland (Fry No. 81; Gregory I202)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 96; Gregory 1997, 425",
315,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.498,-7.974,"Britain, Northern Ireland","Lower Lough Erne, Bleanalung Bay, Garvary River Mouth, Ballymagaghran Townland (Fry No. 82; Gregory I203)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 96; Gregory 1997, 425",
316,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.499,-7.968,"Britain, Northern Ireland","Lower Lough Erne, Bleanalung Bay, Garvary River Mouth, Ballymagaghran/Tawnaghgorm Townlands (Fry No. 83; Gregory I204)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 96; Gregory 1997, 425",
317,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.436,-7.688,"Britain, Northern Ireland","Lower Lough Erne, Buninubber Townland, North-West of Killadeas (Fry No. 84; Gregory I052)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 96; Gregory 1997, 304",
318,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.518,-7.741,"Britain, Northern Ireland","Lower Lough Erne, Crevinish Bay, near Kesh (Fry No. 49; Gregory I123)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,10,340,,,"assumed","yes","yes","assumed",,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1860±70 BP)",,"Fry 2000, 77f.; Lanting 1998, 628; Gregory 1997, 352ff.",
319,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.382,-7.661,"Britain, Northern Ireland","Lower Lough Erne, Gubbaroe Townland (Fry No. 4; Gregory I210)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 48; Gregory 1997, 429f.",
320,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.382,-7.661,"Britain, Northern Ireland","Lower Lough Erne, Gubbaroe Townland (Gregory I211)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 431",
321,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.468,-7.826,"Britain, Northern Ireland","Lower Lough Erne, Holme Bay 1 (Fry No. 1; Gregory I183)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 47; Gregory 1997, 408",
322,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.463,-7.827,"Britain, Northern Ireland","Lower Lough Erne, Holme Bay 2 (Fry No. 2; Gregory I184)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 47; Gregory 1997, 408",
323,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.463,-7.818,"Britain, Northern Ireland","Lower Lough Erne, Holme Bay 3 (Fry No. 3; Gregory I185)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 47f.; Gregory 1997, 408ff.",
324,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.469,-7.815,"Britain, Northern Ireland","Lower Lough Erne, Holme Bay 4 (Fry No. 5; Gregory I330)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 49; Gregory 1997, 505f.",
325,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.475,-7.926,"Britain, Northern Ireland","Lower Lough Erne, Legg Townland 1 (Fry No. 13; Gregory I260)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 53; Gregory 1997, 458ff.",
326,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.474,-7.909,"Britain, Northern Ireland","Lower Lough Erne, Legg Townland 2 (Fry No. 12; Gregory I261)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 52; Gregory 1997, 458ff.",
327,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.519,-7.754,"Britain, Northern Ireland","Lower Lough Erne, off Crevinish Townland, near Kesh (Fry No. 50; Gregory I124)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 78; Gregory 1997, 355",
328,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.522,-7.746,"Britain, Northern Ireland","Lower Lough Erne, off Crevinish Townland, near Kesh (Fry No. 51; Gregory I125)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 79; Gregory 1997, 355",
329,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.411,-7.673,"Britain, Northern Ireland","Lower Lough Erne, Rossfad Townland 1 (Fry No. 6; Gregory I346)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-3502,-3350,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (4636±20 BP)",,"Fry 2000, 50; Gregory 1997, 514f.",
330,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.414,-7.679,"Britain, Northern Ireland","Lower Lough Erne, Rossfad Townland 2 (Fry No. 7; Gregory I347)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 50; Gregory 1997, 514f.",
331,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.494,-7.941,"Britain, Northern Ireland","Lower Lough Erne, Rossmore Bay (Fry No. 106)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 111",
332,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.456,-7.804,"Britain, Northern Ireland","Lower Lough Erne,Tully Bay, Drumcrow East Townland (Fry No. 119; Gregory I380)",,"lake","Lower Lough Erne",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 122; Gregory 1997, 533",
333,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.316,-6.304,"Britain, Northern Ireland","Meenan (Gregory I309)",,"lake","Meenan Bog",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 481",
334,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.23,-7.282,"Britain, Northern Ireland","Mill Lough, Killyfole Townland, West of Rosslea 1 (Fry No. 57)",,"lake","Mill Lough",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 83",
335,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.229,-7.289,"Britain, Northern Ireland","Mill Lough, Killyfole Townland, West of Rosslea 2 (Fry No. 76)",,"lake","Mill Lough",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 93f.",
336,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.39,-7.76,"Britain, Northern Ireland","Monea (Gregory I312)",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 482f.",
337,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.354,-7.611,"Britain, Northern Ireland","Moneynoe (Gregory I313)",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 483",
338,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.444,-6.687,"Britain, Northern Ireland","Moy (Gregory I314)",,"river","River Blackwater",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1645,1655,,,,,,,,,,,,,,,,,,,"yes",,,,"reliable","Dated via radiocarbon dating (245±15 BP)",,"Gregory 1997, 483ff.; Lanting 1998, 628",
339,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.559,-6.278,"Britain, Northern Ireland","Portmore Lough, near Sallow (Sallagh) Island, BallinderryTownland (Fry No. 107; Gregory I329)",,"lake","Portmore Lough",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 112; Gregory 1997, 502ff.",
340,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.757,-6.361,"Britain, Northern Ireland","Randalstown 1 (Gregory I334)",,"lake","Randalstown Bog",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 507f.",
341,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.758,-6.361,"Britain, Northern Ireland","Randalstown 2 (Gregory I335)",,"lake","Randalstown Bog",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 508",
342,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.758,-6.361,"Britain, Northern Ireland","Randalstown 3 (Gregory I336)",,"lake","Randalstown Bog",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 508",
343,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.784,-6.643,"Britain, Northern Ireland","River Articlave (Pottagh Burn), Grange Beg Townland, near Castlerock (Fry No. 54)",,"river","River Articlave",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-756,-395,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2392±35 BP)",,"Fry 2000, 81",
344,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.668,-6.525,"Britain, Northern Ireland","River Ballinderry, Lower Mullan Townland (Fry No. 20; Gregory I317)",,"river","River Ballinderry",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 58f.; Gregory 1997, 487f.",
345,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.668,-6.525,"Britain, Northern Ireland","River Ballinderry, Lower Mullan Townland (Gregory I318)",,"river","River Ballinderry",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Gregory 1997, 487f.",
346,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.424,-6.439,"Britain, Northern Ireland","River Bann at Shillington's Quay, Portadown (Fry No. 85; Gregory I326)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 97; Gregory 1997, 499ff.",
347,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.438,-6.434,"Britain, Northern Ireland","River Bann, Ballynagowan Townland, North of Portadown (Fry No. 98)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-3620,-3340,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (4660±40 BP)",,"Fry 2000, 106f.; Lanting 1998, 628",
348,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.411,-6.427,"Britain, Northern Ireland","River Bann, Corcrain tributary, Portadown (Fry No. 108; Gregory I324)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1480,1660,,,,,,,,,,,,,,,,,"assumed","yes","assumed",,,,"reliable","Dated via radiocarbon dating (305±30 BP)",,"Fry 2000, 113; Gregory 1997, 497f.; Lanting 1998, 628",
349,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.473,-6.437,"Britain, Northern Ireland","River Bann, Derrybroughas Townland (Fry No. 52)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1410,1630,,,,,,,,,,,,,,,,,"yes","yes","assumed",,,,"reliable","Dated via radiocarbon dating (420±45 BP)",,"Fry 2000, 79; Lanting 1998, 628; Gregory 1997, 375ff.",
350,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.503,-6.514,"Britain, Northern Ireland","River Bann, Derryloiste Townland (Fry No. 32; Gregory I160)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 67; Gregory 1997, 391",
351,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.417,-6.432,"Britain, Northern Ireland","River Bann, Levaghery Townland, Portadown (Fry No. 87; Gregory I263)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,720,895,,,,,,,,,,"yes","yes",,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1197±33 BP)",,"Fry 2000, 98f.; Lanting 1998, 628; Gregory 1997, 463f.",
352,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.981,-6.548,"Britain, Northern Ireland","River Bann, near Moore Lodge, Carney Hill Townland (Fry No. 23)",,"river","River Bann",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Fry 2000, 61f.",
